a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,y,x
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,12:00,OFF,jump ball,,Ben Wallace,,,Shaquille O'Neal,,,,,,,Gary Payton,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:42,MIA,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,hook,22,11
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:40,CHI,rebound,,,,,,,,,,P.J. Brown,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:35,MIA,foul,,,,,,,,Ben Gordon,,Shaquille O'Neal,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:35,CHI,free throw,,,,,,,1,,2,Ben Gordon,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:35,CHI,free throw,,,,,,,2,,2,Ben Gordon,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:22,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,jump bank,34,16
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:07,CHI,shot,,,,,,,,,,P.J. Brown,,,,missed,,jump,24,9
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,11:05,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:58,MIA,turnover,,,,,,,,,,Dwyane Wade,,,traveling,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:47,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,8,19
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:45,MIA,rebound,,,,,,,,,,Antoine Walker,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:34,MIA,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,turnaround jump,18,12
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:32,CHI,rebound,,,,,,,,,,P.J. Brown,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:27,CHI,shot,Kirk Hinrich,,,,,,,,,Luol Deng,2,,,made,,running dunk,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,10:09,MIA,shot,Gary Payton,,,,,,,,,Dwyane Wade,2,,,made,,jump,10,17
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:52,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,1,5
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:51,MIA,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:37,MIA,shot,,,,,,,,,,Antoine Walker,,,,missed,,jump,42,22
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:35,CHI,rebound,,,,,,,,,,P.J. Brown,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:27,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,42,23
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:25,MIA,rebound,,,,,,,,,,Antoine Walker,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:18,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,jump bank,41,18
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:10,CHI,shot,,,Antoine Walker,,,,,,,Ben Gordon,,,,missed,,driving layup,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:09,CHI,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:03,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,8,8
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,9:01,MIA,rebound,,,,,,,,,,Gary Payton,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:52,MIA,turnover,,,,,,,,,,Gary Payton,,,lost ball,,Kirk Hinrich,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:48,MIA,foul,,,,,,,,Luol Deng,,Dwyane Wade,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:48,CHI,free throw,,,,,,,1,,2,Luol Deng,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:48,CHI,free throw,,,,,,,2,,2,Luol Deng,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:47,MIA,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:30,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,33,21
